name
7BC Venture Capital
406 Ventures
Next Ventures
Blossom Capital
General Catalyst
Battery Ventures
Icon Ventures
Sierra Ventures
AgFunder
AlleyCorp
Arbor Ventures
Big Idea Ventures
Brand Foundry Ventures
Capital Technologies
Civilization Ventures
Comcast Ventures
Contour Ventures
Creative Ventures
Darling Ventures
Data Point Capital
EchoVC Partners
Empowerment Capital
Evolution VC Partners
Fin VC
Forefront Venture Partners
Fusion Fund
Future Ventures
Genesis Investments
Germin8 Ventures
Glasswing Ventures
Global Founders Capital
Gorilla Capital
Greylock Partners
IDEA Fund Partners
Impact Engine
Javelin Venture Partners
Konvoy Ventures
Marigold Capital
Matrix Partners
MDC Ventures
MetaProp Ventures
Mighty Capital
Neue Fund
Wing VC
Nine Four Ventures
Open Prairie Rural Opportunities…
Pear VC
Pelion Venture Partners
Plum Alley Ventures
R3i Ventures LLC
Rebel Fund
Red Sea Ventures
Rhino Ventures
Robin Hood Ventures
Rocana Ventures
Romulus Capital
Runway Venture Partners
Saola Ventures
Sony Innovation Fund
Spring Mountain Capital
Swing Ventures
Tacitus Ventures
The Craftory
True Wealth Ventures
Unilever Ventures
Voice Punch VC
WIHarper Group
Bayes Ventures
Citi Ventures
Two Sigma Ventures
Plaza Ventures
B Capital Group
Candy Ventures
Runa Capital
Earnest Capital
Mubadala Capital - Ventures
Brick & Mortar Ventures
NorthStar Venture Partners
Off The Grid Ventures
Atypical
Evolv Ventures
Millennium
Valia Ventures
Riot Ventures
Dynamk Capital
W Fund
Navigate Ventures
Canvas Ventures
Work-Bench
Newfund Capital
Morpheus Ventures
Abstraction Capital
ReGen Ventures
Chrysalix Venture Capital
Energy Impact Partners
Alpha Square Group
Class 5 Global
Illuminate Ventures
Maven Ventures
nzt.capital
Work.Fund
Outliers VC
Uncorrelated Ventures
SoGal Ventures
SleepScore Ventures
Range Ventures
R42 Group
R3
Quantyzed Capital
Predictive VC
Maccabee Ventures
K9 Ventures
K50 Ventures
Invicta Growth
Grasshopper Capital
Green Egg Ventures
Green Cow Venture Capital
G9 Ventures
Founders.AI
First Leaf Capital
Equation Angels | Southwestern…
Endagon Studios
Coelius Capital
Better Tomorrow Ventures
Arc Ventures
ANIMO Ventures
Harlem Capital
122WEST Ventures
